distance,total_force
2550,-2.30721
2549.98,-2.30219
2549.95,-2.29718
2549.92,-2.29217
2549.87,-2.28717
2549.8,-2.28218
2549.73,-2.2772
2549.65,-2.27223
2549.55,-2.26726
2549.45,-2.2623
2549.33,-2.25735
2549.21,-2.25241
2549.07,-2.24747
2548.92,-2.24254
2548.76,-2.23762
2548.59,-2.2327
2548.4,-2.22779
2548.21,-2.22288
2548.01,-2.21799
2547.79,-2.21309
2547.56,-2.20821
2547.33,-2.20333
2547.08,-2.19845
2546.82,-2.19358
2546.55,-2.18872
2546.27,-2.18386
2545.97,-2.17901
2545.67,-2.17416
2545.36,-2.16931
2545.03,-2.16447
2544.69,-2.15964
2544.35,-2.15481
2543.99,-2.14998
2543.62,-2.14516
2543.24,-2.14034
2542.85,-2.13552
2542.44,-2.13071
2542.03,-2.1259
2541.6,-2.12109
2541.17,-2.11629
2540.72,-2.11148
2540.26,-2.10669
2539.79,-2.10189
2539.31,-2.0971
2538.82,-2.0923
2538.32,-2.08751
2537.81,-2.08273
2537.28,-2.07794
2536.75,-2.07315
2536.2,-2.06837
2535.64,-2.06359
2535.07,-2.05881
2534.49,-2.05402
2533.9,-2.04924
2533.3,-2.04446
2532.69,-2.03968
2532.06,-2.0349
2531.43,-2.03012
2530.78,-2.02534
2530.12,-2.02056
2529.46,-2.01578
2528.78,-2.011
2528.08,-2.00622
2527.38,-2.00143
2526.67,-1.99665
2525.95,-1.99186
2525.21,-1.98707
2524.47,-1.98228
2523.71,-1.97749
2522.94,-1.97269
2522.16,-1.9679
2521.37,-1.9631
2520.57,-1.95829
2519.76,-1.95349
2518.93,-1.94868
2518.1,-1.94387
2517.25,-1.93905
2516.39,-1.93423
2515.52,-1.92941
2514.64,-1.92458
2513.75,-1.91975
2512.85,-1.91491
2511.94,-1.91007
2511.01,-1.90523
2510.08,-1.90038
2509.13,-1.89552
2508.17,-1.89066
2507.21,-1.88579
2506.23,-1.88092
2505.23,-1.87604
2504.23,-1.87115
2503.22,-1.86626
2502.19,-1.86136
2501.16,-1.85645
2500.11,-1.85154
2499.05,-1.84662
2497.98,-1.84169
2496.9,-1.83676
2495.81,-1.83181
2494.71,-1.82686
2493.59,-1.8219
2492.47,-1.81693
2491.33,-1.81195
2490.18,-1.80696
2489.02,-1.80196
2487.85,-1.79696
2486.67,-1.79194
2485.48,-1.78691
2484.27,-1.78188
2483.05,-1.77683
2481.83,-1.77177
2480.59,-1.7667
2479.34,-1.76162
2478.08,-1.75653
2476.81,-1.75142
2475.52,-1.74631
2474.23,-1.74118
2472.92,-1.73604
2471.61,-1.73088
2470.28,-1.72571
2468.94,-1.72053
2467.59,-1.71534
2466.22,-1.71013
2464.85,-1.70491
2463.46,-1.69967
2462.07,-1.69442
2460.66,-1.68915
2459.24,-1.68387
2457.81,-1.67857
2456.37,-1.67326
2454.92,-1.66793
2453.45,-1.66259
2451.97,-1.65722
2450.49,-1.65184
2448.99,-1.64645
2447.48,-1.64103
2445.96,-1.6356
2444.42,-1.63015
2442.88,-1.62468
2441.32,-1.61919
2439.76,-1.61369
2438.18,-1.60816
2436.59,-1.60261
2434.98,-1.59705
2433.37,-1.59146
2431.75,-1.58585
2430.11,-1.58022
2428.46,-1.57457
2426.8,-1.5689
2425.13,-1.56321
2423.45,-1.55749
2421.76,-1.55175
2420.05,-1.54599
2418.34,-1.5402
2416.61,-1.53439
2414.87,-1.52856
2413.12,-1.5227
2411.36,-1.51682
2409.58,-1.51091
2407.8,-1.50497
2406,-1.49901
2404.19,-1.49302
2402.37,-1.48701
2400.54,-1.48096
2398.7,-1.47489
2396.84,-1.4688
2394.98,-1.46267
2393.1,-1.45651
2391.21,-1.45033
2389.31,-1.44411
2387.39,-1.43787
2385.47,-1.43159
2383.53,-1.42528
2381.59,-1.41894
2379.63,-1.41257
2377.66,-1.40617
2375.67,-1.39973
2373.68,-1.39326
2371.67,-1.38676
