distance,total_force
2535.94,1.80576
2535.64,1.80878
2535.35,1.81181
2535.05,1.81482
2534.75,1.81784
2534.44,1.82086
2534.14,1.82387
2533.83,1.82688
2533.51,1.82988
2533.2,1.83289
2532.88,1.83589
2532.55,1.83889
2532.23,1.84188
2531.9,1.84488
2531.57,1.84787
2531.23,1.85085
2530.9,1.85384
2530.56,1.85682
2530.21,1.8598
2529.87,1.86278
2529.52,1.86576
2529.17,1.86873
2528.81,1.8717
2528.45,1.87467
2528.09,1.87763
2527.73,1.88059
2527.36,1.88355
2526.99,1.88651
2526.62,1.88946
2526.24,1.89242
2525.86,1.89537
2525.48,1.89831
2525.1,1.90126
2524.71,1.9042
2524.32,1.90714
2523.92,1.91008
2523.53,1.91301
2523.13,1.91594
2522.72,1.91887
2522.32,1.9218
2521.91,1.92472
2521.5,1.92764
2521.08,1.93056
2520.67,1.93348
2520.25,1.93639
2519.82,1.9393
2519.4,1.94221
2518.97,1.94511
2518.53,1.94802
2518.1,1.95092
2517.66,1.95382
2517.22,1.95671
2516.78,1.9596
2516.33,1.96249
2515.88,1.96538
2515.43,1.96827
2514.97,1.97115
2514.51,1.97403
2514.05,1.9769
2513.59,1.97978
2513.12,1.98265
2512.65,1.98552
2512.18,1.98839
2511.7,1.99125
2511.22,1.99411
2510.74,1.99697
2510.25,1.99983
2509.77,2.00268
2509.27,2.00553
2508.78,2.00838
2508.28,2.01122
2507.78,2.01406
2507.28,2.0169
2506.78,2.01974
2506.27,2.02258
2505.76,2.02541
2505.24,2.02824
2504.73,2.03106
2504.2,2.03389
2503.68,2.03671
2503.16,2.03952
2502.63,2.04234
2502.1,2.04515
2501.56,2.04796
2501.02,2.05077
2500.48,2.05357
2499.94,2.05637
2499.39,2.05917
2498.84,2.06197
2498.29,2.06476
2497.74,2.06755
2497.18,2.07034
2496.62,2.07312
2496.06,2.0759
2495.49,2.07868
2494.92,2.08146
2494.35,2.08423
2493.77,2.087
2493.2,2.08976
2492.61,2.09253
2492.03,2.09529
2491.44,2.09805
2490.85,2.1008
2490.26,2.10355
2489.67,2.1063
2489.07,2.10905
2488.47,2.11179
2487.87,2.11453
2487.26,2.11727
2486.65,2.12
2486.04,2.12273
2485.42,2.12546
2484.8,2.12818
2484.18,2.1309
2483.56,2.13362
2482.93,2.13633
2482.3,2.13905
2481.67,2.14175
2481.04,2.14446
2480.4,2.14716
2479.76,2.14986
2479.11,2.15255
2478.47,2.15525
2477.82,2.15794
2477.17,2.16062
2476.51,2.1633
2475.85,2.16598
2475.19,2.16866
2474.53,2.17133
2473.86,2.174
2473.19,2.17666
2472.52,2.17932
2471.85,2.18198
2471.17,2.18464
2470.49,2.18729
2469.81,2.18993
2469.12,2.19258
2468.43,2.19522
2467.74,2.19786
2467.05,2.20049
2466.35,2.20312
2465.65,2.20574
2464.95,2.20837
2464.24,2.21099
2463.53,2.2136
2462.82,2.21621
2462.11,2.21882
2461.39,2.22142
2460.67,2.22402
2459.95,2.22662
2459.23,2.22921
2458.5,2.2318
2457.77,2.23438
2457.04,2.23696
2456.3,2.23954
2455.56,2.24211
2454.82,2.24468
2454.07,2.24724
2453.33,2.2498
2452.58,2.25236
2451.83,2.25491
2451.07,2.25746
2450.31,2.26
2449.55,2.26254
2448.79,2.26508
2448.02,2.26761
2447.25,2.27013
2446.48,2.27266
2445.71,2.27517
2444.93,2.27769
2444.15,2.2802
2443.37,2.2827
2442.58,2.2852
2441.79,2.2877
2441,2.29019
2440.21,2.29267
2439.41,2.29516
2438.62,2.29763
2437.81,2.3001
2437.01,2.30257
2436.2,2.30504
2435.39,2.30749
2434.58,2.30995
2433.77,2.3124
2432.95,2.31484
2432.13,2.31728
2431.3,2.31971
2430.48,2.32214
2429.65,2.32456
2428.82,2.32698
2427.99,2.3294
2427.15,2.33181
2426.31,2.33421
2425.47,2.33661
2424.63,2.339
2423.78,2.34139
2422.93,2.34377
2422.08,2.34615
2421.22,2.34852
2420.36,2.35088
2419.5,2.35324
2418.64,2.3556
2417.78,2.35795
2416.91,2.36029
2416.04,2.36263
2415.16,2.36496
2414.29,2.36729
2413.41,2.36961
2412.53,2.37192
2411.64,2.37423
2410.76,2.37654
2409.87,2.37883
2408.98,2.38112
2408.08,2.38341
2407.19,2.38569
2406.29,2.38796
2405.39,2.39023
2404.48,2.39249
2403.57,2.39474
2402.66,2.39699
2401.75,2.39923
2400.84,2.40147
2399.92,2.40369
2399,2.40592
2398.08,2.40813
2397.15,2.41034
2396.23,2.41254
2395.3,2.41474
2394.36,2.41692
2393.43,2.41911
2392.49,2.42128
2391.55,2.42345
2390.61,2.42561
2389.66,2.42776
2388.72,2.42991
2387.77,2.43205
2386.81,2.43418
2385.86,2.4363
2384.9,2.43842
2383.94,2.44053
2382.98,2.44263
2382.01,2.44472
2381.04,2.44681
2380.07,2.44889
2379.1,2.45096
2378.13,2.45303
2377.15,2.45508
2376.17,2.45713
2375.19,2.45917
2374.2,2.4612
2373.21,2.46323
2372.22,2.46524
2371.23,2.46725
2370.24,2.46925
2369.24,2.47124
2368.24,2.47322
2367.24,2.4752
2366.23,2.47716
2365.23,2.47912
2364.22,2.48107
2363.21,2.48301
2362.19,2.48494
2361.18,2.48686
2360.16,2.48877
2359.14,2.49067
2358.11,2.49257
2357.09,2.49445
2356.06,2.49633
2355.03,2.4982
2354,2.50005
2352.96,2.5019
2351.92,2.50374
2350.88,2.50557
2349.84,2.50739
2348.79,2.50919
2347.75,2.51099
2346.7,2.51278
2345.65,2.51456
2344.59,2.51633
2343.54,2.51809
2342.48,2.51984
2341.42,2.52158
2340.35,2.52331
2339.29,2.52502
2338.22,2.52673
2337.15,2.52843
2336.08,2.53011
2335,2.53178
2333.92,2.53345
2332.85,2.5351
2331.76,2.53674
2330.68,2.53837
2329.59,2.53999
2328.51,2.5416
2327.42,2.5432
2326.32,2.54478
2325.23,2.54635
2324.13,2.54791
2323.03,2.54946
2321.93,2.551
2320.83,2.55253
2319.72,2.55404
2318.61,2.55554
2317.5,2.55703
2316.39,2.55851
2315.27,2.55997
2314.16,2.56142
2313.04,2.56286
2311.92,2.56429
2310.79,2.5657
2309.67,2.5671
2308.54,2.56848
2307.41,2.56986
2306.28,2.57122
2305.14,2.57257
2304.01,2.5739
2302.87,2.57522
2301.73,2.57653
2300.59,2.57782
2299.44,2.5791
2298.29,2.58036
2297.15,2.58161
2296,2.58285
2294.84,2.58407
2293.69,2.58527
2292.53,2.58647
2291.37,2.58765
2290.21,2.58881
2289.05,2.58996
2287.88,2.59109
2286.71,2.59221
2285.55,2.59331
2284.37,2.5944
2283.2,2.59547
2282.03,2.59652
2280.85,2.59756
2279.67,2.59859
2278.49,2.5996
2277.3,2.60059
2276.12,2.60157
2274.93,2.60252
2273.74,2.60347
2272.55,2.60439
2271.36,2.6053
2270.16,2.6062
2268.97,2.60707
2267.77,2.60793
2266.57,2.60877
2265.37,2.6096
2264.16,2.6104
2262.96,2.61119
2261.75,2.61196
2260.54,2.61272
2259.33,2.61345
2258.11,2.61417
2256.9,2.61487
2255.68,2.61555
2254.46,2.61621
2253.24,2.61685
2252.02,2.61748
2250.79,2.61808
2249.56,2.61867
2248.34,2.61923
2247.11,2.61978
2245.87,2.62031
2244.64,2.62082
2243.41,2.6213
2242.17,2.62177
2240.93,2.62222
2239.69,2.62265
2238.45,2.62305
2237.2,2.62344
2235.96,2.6238
2234.71,2.62415
2233.46,2.62447
2232.21,2.62477
2230.96,2.62505
2229.7,2.62531
2228.45,2.62555
2227.19,2.62576
2225.93,2.62596
2224.67,2.62613
2223.41,2.62628
2222.14,2.6264
2220.88,2.62651
2219.61,2.62659
2218.34,2.62664
2217.07,2.62668
2215.8,2.62669
2214.52,2.62667
2213.25,2.62664
2211.97,2.62658
2210.69,2.62649
2209.41,2.62638
2208.13,2.62625
2206.85,2.62609
2205.57,2.62591
2204.28,2.6257
2202.99,2.62547
2201.7,2.62521
2200.41,2.62493
2199.12,2.62462
2197.83,2.62429
2196.53,2.62393
2195.24,2.62354
2193.94,2.62313
2192.64,2.62269
2191.34,2.62222
2190.04,2.62173
2188.74,2.62121
2187.43,2.62066
2186.13,2.62008
2184.82,2.61948
2183.51,2.61885
2182.2,2.61819
2180.89,2.6175
