distance,acceleration_a,acceleration_b
920.515,0.988796,0.00115773
943.327,0.941551,0.00110241
965.608,0.898602,0.00105213
987.372,0.859424,0.00100625
1008.63,0.823572,0.000964277
1029.41,0.790667,0.000925751
1049.71,0.760384,0.000890294
1069.54,0.732442,0.000857577
1088.93,0.706597,0.000827317
1107.87,0.682639,0.000799266
1126.38,0.660382,0.000773207
1144.48,0.639665,0.000748951
1162.16,0.620346,0.000726331
1179.45,0.602299,0.0007052
1196.34,0.585412,0.000685429
1212.84,0.569587,0.0006669
1228.97,0.554735,0.00064951
1244.73,0.540778,0.000633168
1260.13,0.527644,0.00061779
1275.17,0.51527,0.000603303
1289.86,0.503599,0.000589638
1304.21,0.49258,0.000576736
1318.22,0.482166,0.000564542
1331.89,0.472313,0.000553007
1345.24,0.462985,0.000542085
1358.27,0.454145,0.000531735
1370.98,0.445763,0.00052192
1383.38,0.437808,0.000512606
1395.47,0.430254,0.000503761
1407.26,0.423076,0.000495358
1418.75,0.416253,0.000487368
1429.94,0.409762,0.000479769
1440.84,0.403586,0.000472538
1451.45,0.397707,0.000465654
1461.78,0.392109,0.000459099
1471.82,0.386776,0.000452855
1481.58,0.381695,0.000446906
1491.07,0.376853,0.000441237
1500.29,0.372238,0.000435834
1509.23,0.367839,0.000430683
1517.91,0.363646,0.000425774
1526.32,0.359649,0.000421094
1534.46,0.35584,0.000416635
1542.35,0.35221,0.000412385
1549.98,0.348752,0.000408336
1557.35,0.345458,0.000404479
1564.47,0.342323,0.000400807
1571.33,0.339338,0.000397313
1577.95,0.3365,0.00039399
1584.31,0.333802,0.000390831
1590.43,0.331239,0.00038783
1596.3,0.328807,0.000384983
1601.92,0.326501,0.000382283
1607.31,0.324318,0.000379727
1612.45,0.322253,0.000377309
1617.35,0.320303,0.000375025
1622.01,0.318464,0.000372873
1626.44,0.316734,0.000370847
1630.62,0.315109,0.000368945
1634.58,0.313588,0.000367163
1638.29,0.312166,0.000365499
1641.77,0.310844,0.00036395
1645.02,0.309617,0.000362514
1648.04,0.308485,0.000361189
1650.82,0.307445,0.000359971
1653.38,0.306496,0.00035886
1655.7,0.305637,0.000357854
1657.79,0.304866,0.000356951
1659.66,0.304181,0.00035615
1661.29,0.303583,0.00035545
1662.7,0.30307,0.000354849
1663.87,0.302642,0.000354347
1664.82,0.302297,0.000353943
1665.54,0.302035,0.000353637
1666.04,0.301856,0.000353428
1666.3,0.30176,0.000353315
1666.34,0.301746,0.000353299
1666.15,0.301815,0.000353379
1665.73,0.301966,0.000353556
1665.09,0.3022,0.00035383
1664.21,0.302517,0.000354201
1663.11,0.302918,0.000354671
1661.78,0.303403,0.000355238
1660.23,0.303972,0.000355905
1658.44,0.304628,0.000356672
1656.42,0.30537,0.000357541
1654.18,0.306199,0.000358513
1651.7,0.307118,0.000359589
1648.99,0.308127,0.00036077
1646.06,0.309229,0.00036206
1642.88,0.310424,0.000363459
1639.48,0.311714,0.00036497
1635.84,0.313102,0.000366595
1631.97,0.31459,0.000368337
1627.86,0.31618,0.000370198
1623.52,0.317875,0.000372183
1618.93,0.319677,0.000374293
1614.11,0.321589,0.000376532
1609.05,0.323616,0.000378905
1603.75,0.325759,0.000381414
1598.2,0.328024,0.000384066
1592.41,0.330413,0.000386863
1586.38,0.332932,0.000389812
1580.1,0.335584,0.000392918
1573.57,0.338375,0.000396185
1566.79,0.34131,0.000399622
1559.75,0.344395,0.000403233
1552.47,0.347635,0.000407027
1544.93,0.351037,0.000411011
1537.13,0.354609,0.000415193
1529.07,0.358358,0.000419582
1520.74,0.362291,0.000424187
1512.16,0.366417,0.000429018
1503.3,0.370746,0.000434087
1494.18,0.375288,0.000439405
1484.78,0.380053,0.000444984
1475.11,0.385053,0.000450838
1465.16,0.3903,0.000456982
1454.93,0.395808,0.000463431
1444.41,0.401592,0.000470203
1433.61,0.407667,0.000477316
1422.52,0.41405,0.00048479
1411.13,0.42076,0.000492646
1399.44,0.427817,0.000500909
1387.45,0.435243,0.000509603
1375.16,0.443061,0.000518757
1362.55,0.451298,0.000528401
1349.63,0.459982,0.000538569
1336.39,0.469143,0.000549295
1322.82,0.478816,0.000560621
1308.92,0.489039,0.00057259
1294.68,0.499851,0.000585249
1280.11,0.511299,0.000598653
1265.19,0.523432,0.000612859
1249.91,0.536305,0.000627932
1234.27,0.549981,0.000643943
1218.27,0.564526,0.000660973
1201.89,0.580017,0.000679111
1185.13,0.596539,0.000698456
1167.98,0.614187,0.000719119
1150.43,0.633068,0.000741226
1132.47,0.653303,0.000764918
1114.1,0.675029,0.000790356
1095.3,0.6984,0.00081772
1076.06,0.723593,0.000847217
1056.38,0.75081,0.000879084
1036.24,0.780282,0.000913592
1015.62,0.812278,0.000951054
994.524,0.847107,0.000991833
972.929,0.885129,0.00103635
950.823,0.926765,0.0010851
928.19,0.972513,0.00113866
905.015,1.02296,0.00119773
881.281,1.0788,0.00126311
856.972,1.14087,0.00133578
832.07,1.21018,0.00141693
806.555,1.28796,0.001508
780.409,1.3757,0.00161074
753.612,1.47528,0.00172732
726.145,1.58899,0.00186047
697.99,1.71977,0.00201359
669.13,1.87132,0.00219103
639.551,2.04842,0.00239839
609.243,2.25729,0.00264295
578.205,2.50614,0.0029343
546.45,2.80587,0.00328525
514.01,3.17122,0.00371301
480.948,3.6222,0.00424104
447.381,4.18613,0.00490132
413.506,4.9001,0.00573727
379.649,5.81305,0.0068062
346.346,6.98472,0.00817804
314.458,8.47312,0.00992073
285.335,10.291,0.0120492
260.96,12.3032,0.0144052
243.893,14.0855,0.0164919
236.657,14.96,0.0175159
240.563,14.478,0.0169516
254.885,12.8967,0.0151001
277.33,10.8937,0.0127548
305.253,8.99182,0.0105281
336.472,7.40067,0.00866506
369.456,6.13824,0.00718694
403.214,5.15345,0.00603391
437.126,4.38487,0.00513401
470.812,3.77985,0.00442562
504.042,3.29789,0.00386132
536.679,2.90897,0.00340596
568.647,2.5911,0.00303378
599.904,2.32812,0.00272587
630.434,2.10809,0.00246826
660.233,1.92209,0.00225047
689.31,1.76335,0.00206462
717.678,1.62671,0.00190463
745.351,1.50816,0.00176582
772.349,1.40456,0.00164453
798.691,1.31344,0.00153784
824.395,1.23282,0.00144344
849.481,1.16108,0.00135944
873.968,1.09693,0.00128433
897.875,1.03929,0.00121685
921.217,0.98729,0.00115597
944.013,0.940184,0.00110081
966.277,0.897357,0.00105067
988.026,0.858286,0.00100492
1009.27,0.822529,0.000963056
1030.03,0.789709,0.000924629
1050.32,0.759501,0.00088926
1070.14,0.731626,0.000856622
1089.51,0.705842,0.000826433
1108.44,0.681938,0.000798445
1126.94,0.65973,0.000772443
1145.02,0.639058,0.00074824
1162.69,0.61978,0.000725667
1179.97,0.601769,0.00070458
1196.84,0.584916,0.000684848
1213.34,0.569122,0.000666355
1229.46,0.554298,0.000648999
1245.2,0.540367,0.000632687
1260.59,0.527257,0.000617337
1275.62,0.514905,0.000602875
1290.3,0.503255,0.000589235
1304.64,0.492255,0.000576356
1318.64,0.481858,0.000564183
1332.3,0.472023,0.000552666
1345.64,0.46271,0.000541762
1358.66,0.453884,0.000531429
1371.37,0.445515,0.00052163
1383.76,0.437573,0.000512331
1395.84,0.43003,0.0005035
1407.62,0.422864,0.000495109
1419.09,0.416051,0.000487132
1430.28,0.40957,0.000479545
1441.17,0.403404,0.000472324
1451.77,0.397533,0.000465451
1462.09,0.391943,0.000458906
1472.12,0.386618,0.000452671
1481.88,0.381545,0.000446731
1491.35,0.37671,0.00044107
1500.56,0.372101,0.000435674
1509.5,0.367709,0.000430531
1518.16,0.363522,0.000425629
1526.57,0.359531,0.000420956
1534.71,0.355728,0.000416503
1542.59,0.352103,0.000412259
1550.21,0.34865,0.000408216
1557.57,0.345362,0.000404366
1564.68,0.34223,0.000400699
1571.54,0.339251,0.000397211
1578.14,0.336416,0.000393892
1584.5,0.333723,0.000390738
1590.61,0.331164,0.000387743
1596.47,0.328736,0.0003849
1602.09,0.326434,0.000382205
1607.46,0.324254,0.000379652
1612.6,0.322193,0.000377239
1617.49,0.320246,0.000374959
1622.15,0.318411,0.00037281
1626.57,0.316684,0.000370788
1630.75,0.315062,0.00036889
1634.69,0.313544,0.000367112
1638.4,0.312126,0.000365452
1641.87,0.310806,0.000363906
1645.12,0.309582,0.000362474
1648.12,0.308453,0.000361151
1650.9,0.307416,0.000359937
1653.45,0.30647,0.000358829
1655.76,0.305613,0.000357826
1657.85,0.304844,0.000356926
1659.71,0.304163,0.000356128
1661.33,0.303567,0.000355431
1662.73,0.303057,0.000354834
1663.9,0.302631,0.000354335
1664.84,0.302289,0.000353934
1665.56,0.30203,0.000353631
1666.04,0.301853,0.000353424
1666.3,0.30176,0.000353315
1666.33,0.301748,0.000353301
1666.14,0.30182,0.000353385
1665.71,0.301973,0.000353565
1665.06,0.30221,0.000353842
1664.18,0.30253,0.000354216
1663.07,0.302933,0.000354688
1661.74,0.30342,0.000355259
1660.17,0.303992,0.000355929
1658.38,0.30465,0.000356699
1656.35,0.305395,0.000357571
1654.1,0.306228,0.000358546
1651.62,0.307149,0.000359625
1648.9,0.308161,0.00036081
1645.96,0.309265,0.000362103
1642.78,0.310463,0.000363505
1639.37,0.311757,0.00036502
1635.72,0.313148,0.000366648
1631.84,0.314639,0.000368394
1627.73,0.316232,0.000370259
1623.37,0.31793,0.000372247
1618.78,0.319735,0.000374361
1613.96,0.321651,0.000376605
1608.89,0.323681,0.000378981
1603.58,0.325828,0.000381495
1598.02,0.328097,0.000384151
1592.23,0.33049,0.000386953
1586.19,0.333013,0.000389907
1579.9,0.335669,0.000393017
1573.36,0.338465,0.00039629
1566.57,0.341404,0.000399732
1559.53,0.344493,0.000403349
1552.24,0.347739,0.000407149
1544.69,0.351146,0.000411139
1536.88,0.354723,0.000415327
1528.81,0.358477,0.000419722
1520.48,0.362416,0.000424334
1511.88,0.366549,0.000429173
1503.02,0.370884,0.000434249
1493.89,0.375433,0.000439574
1484.48,0.380205,0.000445162
1474.8,0.385212,0.000451025
1464.85,0.390467,0.000457178
1454.61,0.395984,0.000463637
1444.08,0.401776,0.000470419
1433.27,0.407861,0.000477543
1422.17,0.414254,0.000485028
1410.77,0.420974,0.000492897
1399.08,0.428042,0.000501172
1387.08,0.43548,0.000509881
1374.77,0.443311,0.000519049
1362.15,0.451561,0.000528709
1349.22,0.460259,0.000538893
1335.97,0.469436,0.000549638
1322.39,0.479125,0.000560983
1308.48,0.489365,0.000572972
1294.24,0.500197,0.000585654
1279.65,0.511665,0.000599082
1264.72,0.52382,0.000613313
1249.43,0.536717,0.000628414
1233.78,0.550418,0.000644456
1217.76,0.564992,0.000661519
1201.37,0.580513,0.000679693
1184.6,0.597069,0.000699076
1167.44,0.614753,0.000719782
1149.88,0.633675,0.000741936
1131.91,0.653954,0.00076568
1113.52,0.675728,0.000791174
1094.71,0.699153,0.000818601
1075.46,0.724405,0.000848168
1055.76,0.751688,0.000880112
1035.6,0.781235,0.000914707
1014.97,0.813314,0.000952266
993.862,0.848236,0.000993155
972.251,0.886363,0.0010378
950.129,0.928119,0.00108669
927.479,0.974003,0.00114041
904.288,1.0246,0.00119965
880.537,1.08062,0.00126524
856.209,1.1429,0.00133816
831.288,1.21246,0.0014196
805.754,1.29052,0.001511
779.588,1.3786,0.00161413
