distance,acceleration_a,acceleration_b,tick_index
1883.47,0.0276535,0.000276535,7100
1884.72,0.0276168,0.000276168,7101
1885.98,0.0275801,0.000275801,7102
1887.23,0.0275434,0.000275434,7103
1888.49,0.0275067,0.000275067,7104
1889.75,0.02747,0.0002747,7105
1891.02,0.0274333,0.000274333,7106
1892.28,0.0273966,0.000273966,7107
1893.55,0.0273599,0.000273599,7108
1894.82,0.0273233,0.000273233,7109
1896.09,0.0272866,0.000272866,7110
1897.37,0.02725,0.0002725,7111
1898.64,0.0272134,0.000272134,7112
1899.92,0.0271768,0.000271768,7113
1901.2,0.0271402,0.000271402,7114
1902.48,0.0271036,0.000271036,7115
1903.77,0.027067,0.00027067,7116
1905.06,0.0270305,0.000270305,7117
1906.34,0.026994,0.00026994,7118
1907.63,0.0269575,0.000269574,7119
1908.93,0.026921,0.00026921,7120
1910.22,0.0268845,0.000268845,7121
1911.52,0.026848,0.00026848,7122
1912.82,0.0268116,0.000268116,7123
1914.12,0.0267752,0.000267752,7124
1915.42,0.0267388,0.000267388,7125
1916.72,0.0267025,0.000267025,7126
1918.03,0.0266661,0.000266661,7127
1919.33,0.0266298,0.000266298,7128
1920.64,0.0265935,0.000265935,7129
1921.95,0.0265573,0.000265573,7130
1923.26,0.0265211,0.000265211,7131
1924.58,0.0264849,0.000264849,7132
1925.89,0.0264487,0.000264487,7133
1927.21,0.0264125,0.000264125,7134
1928.53,0.0263764,0.000263764,7135
1929.85,0.0263403,0.000263403,7136
1931.17,0.0263043,0.000263043,7137
1932.5,0.0262683,0.000262683,7138
1933.82,0.0262323,0.000262323,7139
1935.15,0.0261963,0.000261963,7140
1936.48,0.0261604,0.000261604,7141
1937.81,0.0261245,0.000261245,7142
1939.14,0.0260887,0.000260887,7143
1940.47,0.0260529,0.000260529,7144
1941.8,0.0260171,0.000260171,7145
1943.14,0.0259814,0.000259814,7146
1944.47,0.0259456,0.000259456,7147
1945.81,0.02591,0.0002591,7148
1947.15,0.0258744,0.000258744,7149
1948.49,0.0258388,0.000258388,7150
1949.83,0.0258032,0.000258032,7151
1951.18,0.0257677,0.000257677,7152
1952.52,0.0257322,0.000257322,7153
1953.87,0.0256968,0.000256968,7154
1955.21,0.0256614,0.000256614,7155
1956.56,0.0256261,0.000256261,7156
1957.91,0.0255908,0.000255908,7157
1959.26,0.0255555,0.000255555,7158
1960.61,0.0255203,0.000255203,7159
1961.96,0.0254852,0.000254852,7160
1963.32,0.02545,0.0002545,7161
1964.67,0.025415,0.00025415,7162
1966.03,0.0253799,0.000253799,7163
1967.38,0.025345,0.00025345,7164
1968.74,0.02531,0.0002531,7165
1970.1,0.0252751,0.000252751,7166
1971.46,0.0252403,0.000252403,7167
1972.82,0.0252055,0.000252055,7168
1974.18,0.0251707,0.000251707,7169
1975.54,0.0251361,0.000251361,7170
1976.9,0.0251014,0.000251014,7171
1978.27,0.0250668,0.000250668,7172
1979.63,0.0250323,0.000250323,7173
1981,0.0249978,0.000249978,7174
1982.36,0.0249633,0.000249633,7175
1983.73,0.0249289,0.000249289,7176
1985.1,0.0248946,0.000248946,7177
1986.47,0.0248603,0.000248603,7178
1987.84,0.0248261,0.000248261,7179
1989.21,0.0247919,0.000247919,7180
1990.58,0.0247578,0.000247578,7181
1991.95,0.0247237,0.000247237,7182
1993.32,0.0246897,0.000246897,7183
1994.69,0.0246557,0.000246557,7184
1996.07,0.0246218,0.000246218,7185
1997.44,0.0245879,0.000245879,7186
1998.81,0.0245541,0.000245541,7187
2000.19,0.0245204,0.000245204,7188
2001.56,0.0244867,0.000244867,7189
2002.94,0.0244531,0.000244531,7190
2004.32,0.0244195,0.000244195,7191
2005.69,0.024386,0.00024386,7192
2007.07,0.0243525,0.000243525,7193
2008.45,0.0243191,0.000243191,7194
2009.83,0.0242858,0.000242858,7195
2011.2,0.0242525,0.000242525,7196
2012.58,0.0242193,0.000242193,7197
2013.96,0.0241861,0.000241861,7198
2015.34,0.024153,0.00024153,7199
2016.72,0.02412,0.0002412,7200
2018.1,0.024087,0.00024087,7201
2019.48,0.0240541,0.000240541,7202
2020.86,0.0240212,0.000240212,7203
2022.25,0.0239884,0.000239884,7204
2023.63,0.0239557,0.000239557,7205
2025.01,0.023923,0.00023923,7206
2026.39,0.0238904,0.000238904,7207
2027.77,0.0238578,0.000238578,7208
2029.16,0.0238253,0.000238253,7209
2030.54,0.0237929,0.000237929,7210
2031.92,0.0237605,0.000237605,7211
2033.3,0.0237282,0.000237282,7212
2034.69,0.0236959,0.000236959,7213
2036.07,0.0236638,0.000236638,7214
2037.45,0.0236317,0.000236317,7215
2038.84,0.0235996,0.000235996,7216
2040.22,0.0235676,0.000235676,7217
2041.6,0.0235357,0.000235357,7218
2042.99,0.0235038,0.000235038,7219
2044.37,0.023472,0.00023472,7220
2045.75,0.0234403,0.000234403,7221
2047.14,0.0234086,0.000234086,7222
2048.52,0.023377,0.00023377,7223
2049.9,0.0233455,0.000233455,7224
2051.28,0.023314,0.00023314,7225
2052.67,0.0232826,0.000232826,7226
2054.05,0.0232513,0.000232513,7227
2055.43,0.02322,0.0002322,7228
2056.82,0.0231888,0.000231888,7229
2058.2,0.0231577,0.000231577,7230
2059.58,0.0231266,0.000231266,7231
2060.96,0.0230956,0.000230956,7232
2062.34,0.0230646,0.000230646,7233
2063.73,0.0230338,0.000230338,7234
2065.11,0.0230029,0.000230029,7235
2066.49,0.0229722,0.000229722,7236
2067.87,0.0229415,0.000229415,7237
2069.25,0.0229109,0.000229109,7238
2070.63,0.0228804,0.000228804,7239
2072.01,0.0228499,0.000228499,7240
2073.39,0.0228195,0.000228195,7241
2074.77,0.0227892,0.000227892,7242
2076.15,0.0227589,0.000227589,7243
2077.53,0.0227287,0.000227287,7244
2078.91,0.0226986,0.000226986,7245
2080.29,0.0226685,0.000226685,7246
2081.66,0.0226385,0.000226385,7247
2083.04,0.0226086,0.000226086,7248
2084.42,0.0225788,0.000225788,7249
2085.79,0.022549,0.00022549,7250
2087.17,0.0225192,0.000225192,7251
2088.54,0.0224896,0.000224896,7252
2089.92,0.02246,0.0002246,7253
2091.29,0.0224305,0.000224305,7254
2092.67,0.0224011,0.000224011,7255
2094.04,0.0223717,0.000223717,7256
2095.41,0.0223424,0.000223424,7257
2096.79,0.0223132,0.000223132,7258
2098.16,0.022284,0.00022284,7259
2099.53,0.0222549,0.000222549,7260
2100.9,0.0222259,0.000222259,7261
2102.27,0.0221969,0.000221969,7262
2103.64,0.022168,0.00022168,7263
2105.01,0.0221392,0.000221392,7264
2106.37,0.0221105,0.000221105,7265
2107.74,0.0220818,0.000220818,7266
2109.11,0.0220532,0.000220532,7267
2110.47,0.0220247,0.000220247,7268
2111.84,0.0219962,0.000219962,7269
2113.2,0.0219678,0.000219678,7270
2114.57,0.0219395,0.000219395,7271
2115.93,0.0219112,0.000219112,7272
2117.29,0.021883,0.00021883,7273
2118.65,0.0218549,0.000218549,7274
2120.01,0.0218269,0.000218269,7275
2121.37,0.0217989,0.000217989,7276
2122.73,0.021771,0.00021771,7277
2124.09,0.0217432,0.000217432,7278
2125.45,0.0217154,0.000217154,7279
2126.8,0.0216877,0.000216877,7280
2128.16,0.0216601,0.000216601,7281
2129.52,0.0216325,0.000216325,7282
2130.87,0.0216051,0.000216051,7283
2132.22,0.0215776,0.000215776,7284
2133.57,0.0215503,0.000215503,7285
2134.93,0.021523,0.00021523,7286
2136.28,0.0214958,0.000214958,7287
2137.63,0.0214687,0.000214687,7288
2138.97,0.0214417,0.000214417,7289
2140.32,0.0214147,0.000214147,7290
2141.67,0.0213877,0.000213877,7291
2143.01,0.0213609,0.000213609,7292
2144.36,0.0213341,0.000213341,7293
2145.7,0.0213074,0.000213074,7294
2147.04,0.0212808,0.000212808,7295
2148.38,0.0212542,0.000212542,7296
2149.72,0.0212277,0.000212277,7297
2151.06,0.0212013,0.000212013,7298
2152.4,0.0211749,0.000211749,7299
2153.74,0.0211487,0.000211487,7300
2155.08,0.0211224,0.000211224,7301
2156.41,0.0210963,0.000210963,7302
2157.74,0.0210702,0.000210702,7303
2159.08,0.0210442,0.000210442,7304
2160.41,0.0210183,0.000210183,7305
2161.74,0.0209924,0.000209924,7306
2163.07,0.0209666,0.000209666,7307
2164.4,0.0209409,0.000209409,7308
2165.72,0.0209153,0.000209153,7309
