distance,acceleration_a,acceleration_b,tick_index,velocity_x,velocity_y,velocity_z
2109.64,0.022042,0.00022042,6438,-6.81102,0,0.198174
2108.28,0.0220706,0.000220706,6439,-6.81455,0,0.219959
2106.91,0.0220993,0.000220993,6440,-6.81803,0,0.241783
2105.54,0.022128,0.00022128,6441,-6.82143,0,0.263647
2104.17,0.0221568,0.000221568,6442,-6.82478,0,0.285551
2102.8,0.0221856,0.000221856,6443,-6.82805,0,0.307493
2101.43,0.0222146,0.000222145,6444,-6.83126,0,0.329475
2100.06,0.0222435,0.000222435,6445,-6.8344,0,0.351495
2098.69,0.0222726,0.000222726,6446,-6.83748,0,0.373555
2097.32,0.0223018,0.000223018,6447,-6.84048,0,0.395653
2095.95,0.022331,0.00022331,6448,-6.84342,0,0.417789
2094.58,0.0223602,0.000223602,6449,-6.8463,0,0.439964
2093.2,0.0223896,0.000223896,6450,-6.8491,0,0.462178
2091.83,0.022419,0.00022419,6451,-6.85183,0,0.484429
2090.46,0.0224485,0.000224485,6452,-6.8545,0,0.506719
2089.08,0.022478,0.00022478,6453,-6.8571,0,0.529046
2087.71,0.0225077,0.000225077,6454,-6.85962,0,0.551412
2086.33,0.0225374,0.000225374,6455,-6.86208,0,0.573815
2084.95,0.0225671,0.000225671,6456,-6.86447,0,0.596255
2083.58,0.0225969,0.000225969,6457,-6.86679,0,0.618733
2082.2,0.0226268,0.000226268,6458,-6.86903,0,0.641248
2080.82,0.0226568,0.000226568,6459,-6.87121,0,0.6638
2079.45,0.0226868,0.000226868,6460,-6.87331,0,0.68639
2078.07,0.0227169,0.000227169,6461,-6.87534,0,0.709015
2076.69,0.0227471,0.000227471,6462,-6.8773,0,0.731678
2075.31,0.0227773,0.000227773,6463,-6.87919,0,0.754377
2073.93,0.0228077,0.000228077,6464,-6.881,0,0.777112
2072.55,0.022838,0.00022838,6465,-6.88275,0,0.799884
2071.17,0.0228685,0.000228685,6466,-6.88442,0,0.822691
2069.79,0.022899,0.00022899,6467,-6.88601,0,0.845535
2068.41,0.0229296,0.000229296,6468,-6.88753,0,0.868414
2067.03,0.0229602,0.000229602,6469,-6.88898,0,0.891328
2065.65,0.0229909,0.000229909,6470,-6.89035,0,0.914278
2064.27,0.0230217,0.000230217,6471,-6.89165,0,0.937263
2062.88,0.0230526,0.000230526,6472,-6.89287,0,0.960283
2061.5,0.0230835,0.000230835,6473,-6.89402,0,0.983338
2060.12,0.0231145,0.000231145,6474,-6.89509,0,1.00643
2058.74,0.0231455,0.000231455,6475,-6.89608,0,1.02955
2057.36,0.0231766,0.000231766,6476,-6.897,0,1.05271
2055.97,0.0232078,0.000232078,6477,-6.89784,0,1.0759
2054.59,0.023239,0.00023239,6478,-6.89861,0,1.09913
2053.21,0.0232704,0.000232704,6479,-6.8993,0,1.12239
2051.83,0.0233017,0.000233017,6480,-6.89991,0,1.14568
2050.44,0.0233332,0.000233332,6481,-6.90044,0,1.16901
2049.06,0.0233647,0.000233647,6482,-6.90089,0,1.19237
2047.68,0.0233963,0.000233963,6483,-6.90126,0,1.21576
2046.29,0.0234279,0.000234279,6484,-6.90156,0,1.23919
2044.91,0.0234596,0.000234596,6485,-6.90177,0,1.26265
